id,name,category,subcategory,tags,brand,price,originalPrice,discount,rating,reviewCount,stock,image,deliveryDays,isPrime,sizes,colors
1,Carter's 2-Piece Pajama Set - Green (3),kids,sleepwear,pajamas|soft|green,Carter's,25.03,31.78,21,4.7,10944,196,https://picsum.photos/seed/carter's-sleepwear-1/800/1000,4,False,13C|2Y|11C|12C,Red
2,LEGO Classic Bricks and Wheels - Red (1),kids,toys,lego|creative|red,LEGO,29.76,37.21,20,4.9,13257,410,https://picsum.photos/seed/lego-toys-2/800/1000,4,True,1Y|10C|13C|11C,Beige
3,Fenty Beauty Gloss Bomb - Purple (4),beauty,makeup,lip gloss|shine|purple,Fenty Beauty,22.07,28.5,23,4.5,17257,496,https://picsum.photos/seed/fenty-beauty-makeup-3/800/1000,6,False,,White
4,Ray-Ban Wayfarer Classic - Pink (1),accessories,sunglasses,acetate|uv|pink,Ray-Ban,182.78,226.74,19,4.0,9376,100,https://picsum.photos/seed/ray-ban-sunglasses-4/800/1000,5,False,,Beige|Black|Brown
5,Vuori Halo Performance Hoodie - Red (2),women,hoodies,athleisure|soft|red,Vuori,101.67,130.42,22,4.5,10109,434,https://picsum.photos/seed/vuori-hoodies-5/800/1000,3,True,XL|XXL|S|M,Purple
6,La Roche-Posay Anthelios SPF 60 - Purple (4),beauty,skincare,sunscreen|spf|purple,La Roche-Posay,42.3,44.73,5,4.4,17810,385,https://picsum.photos/seed/la-roche-posay-skincare-6/800/1000,4,False,,Pink|Olive|Purple
7,Converse Chuck 70 High - Purple (2),footwear,sneakers,canvas|lifestyle|purple,Converse,108.01,142.69,24,4.2,2609,98,https://picsum.photos/seed/converse-sneakers-7/800/1000,5,False,6|10|7|9|11,Purple|Black|Red
8,Athleta Salutation Stash 7/8 Tight - Purple (2),women,activewear,leggings|performance|purple,Athleta,90.48,107.53,16,4.3,6869,180,https://picsum.photos/seed/athleta-activewear-8/800/1000,6,True,S|XXL|L|XL,Red|Green|Olive
9,Carhartt WIP Chase Hoodie - Grey (3),men,hoodies,fleece|street|grey,Carhartt WIP,89.84,99.58,10,4.7,13721,478,https://picsum.photos/seed/carhartt-wip-hoodies-9/800/1000,3,False,XS|XXL|S|M|L,Green|Beige
10,Aritzia Super Puff - Red (3),women,jackets,puffer|winter|red,Aritzia,239.07,272.92,12,4.3,12460,494,https://picsum.photos/seed/aritzia-jackets-10/800/1000,5,True,XXL|S|L|M|XS,Purple|Black
11,Vuori Halo Performance Hoodie - White (3),women,hoodies,athleisure|soft|white,Vuori,100.25,129.91,23,4.9,4612,19,https://picsum.photos/seed/vuori-hoodies-11/800/1000,6,True,XXL|L|XS|M,Olive
12,Hoka Clifton 9 - Blue (2),footwear,running,max cushion|running|blue,Hoka,143.39,164.69,13,4.1,3413,348,https://picsum.photos/seed/hoka-running-12/800/1000,3,True,11|12|6|9|7|10|8,Blue
13,Birkenstock Arizona EVA - Pink (4),footwear,sandals,sandals|summer|pink,Birkenstock,56.63,71.95,21,3.8,6357,83,https://picsum.photos/seed/birkenstock-sandals-13/800/1000,3,False,11|12|9,Purple|Red
14,Fenty Beauty Gloss Bomb - Olive (3),beauty,makeup,lip gloss|shine|olive,Fenty Beauty,19.03,22.42,15,4.8,3397,401,https://picsum.photos/seed/fenty-beauty-makeup-14/800/1000,3,True,,Olive
15,LEGO Classic Bricks and Wheels - Pink (2),kids,toys,lego|creative|pink,LEGO,27.24,30.21,10,3.9,13300,295,https://picsum.photos/seed/lego-toys-15/800/1000,6,True,13C|11C,Red|Beige|Green
16,Bellroy Slim Sleeve Wallet - Blue (2),accessories,wallets,leather|rfid|blue,Bellroy,72.56,77.66,7,4.6,4501,184,https://picsum.photos/seed/bellroy-wallets-16/800/1000,4,True,,Black
17,Tumi Alpha 3 Expandable Brief - Pink (2),accessories,bags,brief|travel|pink,Tumi,452.83,550.22,18,3.9,13089,490,https://picsum.photos/seed/tumi-bags-17/800/1000,4,True,,Navy|Black
18,Ray-Ban Wayfarer Classic - Olive (4),accessories,sunglasses,acetate|uv|olive,Ray-Ban,169.79,217.37,22,4.2,1893,45,https://picsum.photos/seed/ray-ban-sunglasses-18/800/1000,2,False,,Red|Brown
19,Ray-Ban Wayfarer Classic - Red (4),accessories,sunglasses,acetate|uv|red,Ray-Ban,161.33,193.44,17,4.6,6061,97,https://picsum.photos/seed/ray-ban-sunglasses-19/800/1000,2,True,,Green
20,LEGO Classic Bricks and Wheels - Green (2),kids,toys,lego|creative|green,LEGO,29.13,38.32,24,4.8,7363,256,https://picsum.photos/seed/lego-toys-20/800/1000,3,True,1Y|3Y|12C|10C|2Y,Beige|Olive|Black
21,Sony WH-1000XM5 - Blue (3),accessories,headphones,anc|wireless|blue,Sony,441.62,506.86,13,4.7,10872,467,https://picsum.photos/seed/sony-headphones-21/800/1000,3,True,,Black|Purple|Red
22,Anker 737 Power Bank - Green (4),accessories,gadgets,power bank|usb-c|green,Anker,170.57,220.08,22,3.8,1379,347,https://picsum.photos/seed/anker-gadgets-22/800/1000,6,False,,Blue|White|Beige
23,Gap Kids Graphic Tee - Green (4),kids,t-shirts,cotton|graphic|green,Gap,18.73,25.04,25,3.9,11940,381,https://picsum.photos/seed/gap-t-shirts-23/800/1000,4,True,10C|11C|1Y,Navy|Purple
24,Arc'teryx Atom LT Hoody - Pink (3),men,jackets,insulated|outdoor|pink,Arc'teryx,279.05,321.37,13,4.2,7113,83,https://picsum.photos/seed/arc'teryx-jackets-24/800/1000,6,False,XL|XS|M|S|L,Purple
25,Dr. Martens 1460 Smooth - Grey (2),footwear,boots,boots|leather|grey,Dr. Martens,182.94,201.04,9,3.9,114,28,https://picsum.photos/seed/dr.-martens-boots-25/800/1000,3,False,8|7|6,Green|Red|Brown
26,Kiehl's Ultra Facial Cream - Brown (4),beauty,moisturizer,moisturizer|hydrating|brown,Kiehl's,41.14,48.18,15,4.0,6103,366,https://picsum.photos/seed/kiehl's-moisturizer-26/800/1000,4,False,,Green|Pink|Black
27,Bose QuietComfort Ultra - Grey (1),accessories,headphones,anc|comfort|grey,Bose,417.85,478.47,13,4.2,9570,468,https://picsum.photos/seed/bose-headphones-27/800/1000,2,True,,Beige|White
28,Skip Hop Diaper Backpack - Green (3),kids,bags,parents|diaper|green,Skip Hop,77.55,82.23,6,4.2,1675,478,https://picsum.photos/seed/skip-hop-bags-28/800/1000,3,True,2Y|1Y|12C|11C|3Y,Green|Pink
29,Adidas Ultraboost Light - Blue (1),footwear,running,running|boost|performance|blue,Adidas,198.76,261.03,24,4.4,10210,106,https://picsum.photos/seed/adidas-running-29/800/1000,6,True,10|9|12|11|8|6|7,Purple|Red
30,Patagonia Better Sweater Fleece - White (3),women,sweaters,fleece|outdoor|white,Patagonia,136.59,153.73,11,4.5,17200,128,https://picsum.photos/seed/patagonia-sweaters-30/800/1000,2,True,S|M|L|XS,White|Pink|Navy
31,The Ordinary Niacinamide 10% + Zinc 1% - Red (3),beauty,serum,niacinamide|oil control|red,The Ordinary,12.81,15.57,18,4.7,9966,47,https://picsum.photos/seed/the-ordinary-serum-31/800/1000,5,False,,Green|Blue|Black
32,Dr. Martens 1460 Smooth - Black (2),footwear,boots,boots|leather|black,Dr. Martens,185.89,208.1,11,3.9,933,376,https://picsum.photos/seed/dr.-martens-boots-32/800/1000,2,False,10|12|11,Brown
33,Anker 737 Power Bank - Beige (2),accessories,gadgets,power bank|usb-c|beige,Anker,157.07,181.1,13,4.2,9984,480,https://picsum.photos/seed/anker-gadgets-33/800/1000,4,False,,Red|Beige|Navy
34,New Balance 990v6 - Green (4),footwear,running,running|made in usa|suede|green,New Balance,224.39,265.04,15,4.3,14694,391,https://picsum.photos/seed/new-balance-running-34/800/1000,2,True,7|9|8|10|12|11|6,Black
35,Dyson Supersonic Hair Dryer - Pink (3),beauty,haircare,hair dryer|premium|pink,Dyson,419.73,444.19,6,4.1,7332,268,https://picsum.photos/seed/dyson-haircare-35/800/1000,5,True,,Black|Purple
36,Aritzia Super Puff - Grey (3),women,jackets,puffer|winter|grey,Aritzia,261.27,296.46,12,4.3,17123,348,https://picsum.photos/seed/aritzia-jackets-36/800/1000,2,False,XXL|L|XL|M|XS,Pink
37,Tumi Alpha 3 Expandable Brief - Blue (2),accessories,bags,brief|travel|blue,Tumi,504.82,641.05,21,4.1,5398,453,https://picsum.photos/seed/tumi-bags-37/800/1000,5,True,,Red|Green
38,Bellroy Slim Sleeve Wallet - Brown (4),accessories,wallets,leather|rfid|brown,Bellroy,79.69,87.15,9,4.6,12820,175,https://picsum.photos/seed/bellroy-wallets-38/800/1000,2,False,,Grey|Purple|Beige
39,Everlane Organic Cotton Box-Cut Tee - Navy (4),women,tops,basics|cotton|navy,Everlane,33.83,44.11,23,3.9,10253,35,https://picsum.photos/seed/everlane-tops-39/800/1000,2,True,S|XXL|XL,Red|Brown|Purple
40,Fenty Beauty Gloss Bomb - White (1),beauty,makeup,lip gloss|shine|white,Fenty Beauty,23.14,25.26,8,4.1,400,183,https://picsum.photos/seed/fenty-beauty-makeup-40/800/1000,6,False,,Green|Brown
